date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:27	62820/62820	------	200	untouched ('OK')	text/html	date:Sun,%2011%20Dec%202022%2014:07:06%20GMT	https://trade.com/	C:/My%20Web%20Sites//trade.com/../index.html	(from )
17:30:28	24/24	------	200	untouched ('OK')	text/plain	date:Thu,%2014%20May%202020%2010:02:28%20GMT	https://trade.com/robots.txt		(from )
17:30:28	161761/161761	------	200	untouched ('OK')	text/css	date:Sun,%2001%20May%202022%2015:24:07%20GMT	https://trade.com/css/wellness-cms.webflow.5eb1ff288.css	C:/My%20Web%20Sites//trade.com/css/wellness-cms.webflow.5eb1ff288.css	(from https://trade.com/)
17:30:28	18680/18680	------	200	untouched ('OK')	text/css	date:Sun,%2001%20May%202022%2015:24:07%20GMT	https://trade.com/css/extra.css	C:/My%20Web%20Sites//trade.com/css/extra.css	(from https://trade.com/)
17:30:28	5695/5695	------	200	untouched ('OK')	text/css	date:Sun,%2001%20May%202022%2015:24:07%20GMT	https://trade.com/css/custom.css	C:/My%20Web%20Sites//trade.com/css/custom.css	(from https://trade.com/)
17:30:28	71750/71750	------	200	untouched ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites//cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://trade.com/)
17:30:28	13188/13188	------	200	untouched ('')	application/javascript	date:Sun,%2001%20May%202022%2015:24:08%20GMT	https://trade.com/js/webfont.js	C:/My%20Web%20Sites//trade.com/js/webfont.js	(from https://trade.com/)
17:30:29	9795/9795	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2020:29:45%20GMT	https://trade.com/img/favicon.png	C:/My%20Web%20Sites//trade.com/img/favicon.png	(from https://trade.com/)
17:30:29	57363/57363	------	200	untouched ('')	image/png	date:Thu,%2013%20Oct%202022%2020:28:41%20GMT	https://trade.com/img/logo.png	C:/My%20Web%20Sites//trade.com/img/logo.png	(from https://trade.com/)
17:30:29	1552/1552	------	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Dec%202022%2014:08:49%20GMT	https://trade.com/assets.website-files.com/5ac4f751b50fc9186ae6aeb1/5ad4c6f5fbca00494cd6df06_5a8f48d7e8e8640001de7eac_boton-cerrar.svg	C:/My%20Web%20Sites//trade.com/assets.website-files.com/5ac4f751b50fc9186ae6aeb1/5ad4c6f5fbca00494cd6df06_5a8f48d7e8e8640001de7eac_boton-cerrar.1c.delayed	(from https://trade.com/)
17:30:29	27062/27062	------	200	untouched ('OK')	text/html	date:Sun,%2011%20Dec%202022%2014:08:30%20GMT	https://trade.com/about-us	C:/My%20Web%20Sites//trade.com/about-us.html	(from https://trade.com/)
